BondID;Issuer;Rate;FaceValue;PaymentFrequency;Rating;Type;YearsToMaturity;DiscountFactor;DeskNotes
B001;Healthcare Trust;Inflation+0.92%;500;Quarterly;BBB+;Inflation-Linked;13.7;0.54715;Indexing details unclear
B002;National Utilities;3.10%;500;Semi-Annual;A;Bond;5.5;0.78498;Corporate bond
B003;Netherlands Gov;Inflation+0.78%;1000;Semi-Annual;AA;Inflation-Linked;10;0.64393;Indexing details unclear
B004;EuroRail;3.90%;100;None;A;Zero-Coupon;4.9;0.80599;Issued at discount
B005;EuroBank;Inflation+1.42%;500;Annual;A;Inflation-Linked;13.1;0.56179;Indexing details unclear
B006;Green Infrastructure;2.60%;5000;None;A-;Zero-Coupon;4.4;0.82393;Issued at discount
B007;TelecomNet;Inflation+0.97%;500;Quarterly;BBB+;Inflation-Linked;2.2;0.9077;Indexing details unclear
B008;Healthcare Trust;6.50%;100;Annual;AA;Bond;12.3;0.58193;Standard issue
B009;TechHold;2.80%;500;None;A-;Zero-Coupon;7.9;0.70629;Issued at discount
B010;CityWater;5.70%;1000;Semi-Annual;A-;Bond;4.9;0.80599;Standard issue
B011;Acme Corp;Inflation+1.28%;100;Semi-Annual;A+;Inflation-Linked;10.9;0.61892;Indexing details unclear
B012;National Utilities;5.40%;500;Semi-Annual;BBB+;Bond;1.5;0.93611;Corporate bond
B013;Netherlands Gov;4.20%;500;Semi-Annual;A;Bond;10.6;0.62714;Corporate bond
B014;City of Rotterdam;Inflation+1.04%;2000;Annual;A+;Inflation-Linked;8.1;0.7001;Indexing details unclear
B015;National Utilities;4.10%;2000;Quarterly;AA;Bond;8.8;0.67885;Corporate bond
B016;AgriFund;4.00%;2000;Quarterly;A+;Bond;11.1;0.61349;Corporate bond
B017;Healthcare Trust;Inflation+0.56%;5000;Annual;A;Inflation-Linked;12;0.58966;Indexing details unclear
B018;Netherlands Gov;2.70%;500;None;BBB+;Zero-Coupon;3.7;0.84971;Issued at discount
B019;EuroRail;Inflation+0.66%;500;Quarterly;BBB+;Inflation-Linked;6.1;0.76452;Indexing details unclear
B020;National Utilities;Inflation+0.38%;2000;Annual;A+;Inflation-Linked;1.8;0.92383;Indexing details unclear
B021;Solar Future;Inflation+1.05%;5000;Annual;BBB+;Inflation-Linked;5.2;0.79542;Indexing details unclear
B022;City of Rotterdam;5.40%;500;Annual;BBB+;Bond;3.8;0.84598;Corporate bond
B023;EuroRail;3.50%;100;Semi-Annual;BBB;Bond;8.4;0.69091;Corporate bond
B024;Netherlands Gov;5.10%;5000;Semi-Annual;AA;Bond;7.9;0.70629;Standard issue
B025;AgriFund;2.90%;100;Quarterly;AAA;Bond;14.9;0.519;Corporate bond
B026;TelecomNet;2.20%;100;Semi-Annual;BBB+;Bond;12.8;0.56926;Standard issue
B027;Netherlands Gov;2.80%;500;None;A-;Zero-Coupon;12.9;0.56676;Issued at discount
B028;Oceanic Shipping;4.90%;2000;Quarterly;A-;Bond;11.1;0.61349;Standard issue
B029;Acme Corp;2.60%;2000;Annual;BBB+;Bond;1.9;0.91977;Corporate bond
B030;TelecomNet;Inflation+0.53%;1000;Quarterly;BBB+;Inflation-Linked;2.9;0.88016;Indexing details unclear
B031;AgriFund;4.10%;500;Quarterly;A+;Bond;1.2;0.94855;Standard issue
B032;AgriFund;4.50%;5000;None;AA-;Zero-Coupon;4.9;0.80599;Issued at discount
B033;EuroBank;2.00%;5000;None;AAA;Zero-Coupon;3.5;0.85722;Issued at discount
B034;CityWater;6.70%;2000;Annual;A;Bond;3.9;0.84226;Standard issue
B035;EuroRail;4.40%;1000;Annual;A;Bond;1.5;0.93611;Corporate bond
B036;City of Rotterdam;2.20%;100;None;BBB;Zero-Coupon;12.2;0.5845;Issued at discount
B037;Oceanic Shipping;4.30%;100;None;A;Zero-Coupon;1.6;0.932;Issued at discount
B038;Oceanic Shipping;2.00%;500;Annual;AAA;Bond;10.5;0.62991;Corporate bond
B039;Acme Corp;3.30%;500;None;A+;Zero-Coupon;9.6;0.65537;Issued at discount
B040;City of Rotterdam;2.70%;1000;None;AAA;Zero-Coupon;11.9;0.59227;Issued at discount
B041;National Utilities;3.90%;500;None;A+;Zero-Coupon;4.1;0.83488;Issued at discount
B042;National Utilities;2.10%;100;Quarterly;AA-;Bond;7.4;0.722;Standard issue
B043;Netherlands Gov;3.70%;1000;None;BBB;Zero-Coupon;7.1;0.7316;Issued at discount
